Cliente_RUC,Razon_Social,Nombre_Comercial,Direccion,Telefono,Email
20000000,BOTICA MATRIZ,BOTICA MATRIZ,"Av. Central 5915, Ayacucho",944019396,
20000001,BOTICA MATRIZ,BOTICA MATRIZ,"Av. Comercial 2422, Huancayo",954073024,BOTICA MATRIZ@GMAIL.COM
20000002,  Farmacia Fuerza,  FARMACIA FUERZA,"Av. Central 8710, Huancayo",996088163,
20000003,Droguería Especial,DROGUERÍA ESPECIAL,,,
20000004,Farmacia Corazón,FARMACIA CORAZÓN,"Av. Principal 2225, Huancayo",936548928,
20000005,Botica Éxito,Botica Éxito,"Av. Central 9975, Pucallpa",945892147,
20000006,Droguería Premium,DROGUERÍA PREMIUM,"Av. Principal 2342, Cusco",972748097,droguería_premium@outlook.com  
20000007,droguería moderna,DROGUERÍA MODERNA,"Av. Principal 3531, Huancayo",952085290,drogueríamoderna@gmail.com
20000008,botica generica,botica generica,"Av. Principal 9921, Ayacucho",998378140,boticagenerica@hotmail.com
20000009,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Comercial 9432, Cusco",937715570,
20000010,Farmacia Corazón,FARMACIA CORAZÓN,"Av. Central 610, Arequipa",979163734,farmaciacorazón@gmail.com
20000011,Botica  San Pedro,Botica  San Pedro,"Av. Comercial 1340, Pucallpa",990316563,
20000012,Farmacia el Milagro,FARMACIA EL MILAGRO,,944378797,farmacia.el.milagro@yahoo.com
20000013,Farmacia Paz,FARMACIA PAZ,"Av. Principal 4913, Cusco",963029478,
20000014,Farmacia  Noble,FARMACIA  NOBLE,"Av. Comercial 2903, Pucallpa",914671408,farmacianoble@hotmail.com
20000015,Farmacia  Confianza,Farmacia  Confianza,"Av. Comercial 3847, Trujillo",,
20000016,Droguería Buena,Droguería Buena,"Av. Comercial 6745, Iquitos",969570850,drogueríabuena@gmail.com
20000017,Farmacia Oferta,Farmacia Oferta,"Av. Comercial 4885, Cusco",923337023,FARMACIA OFERTA@GMAIL.COM
20000018,Farmacia Nueva,FARMACIA NUEVA,"Av. Comercial 2373, Arequipa",932369623,
20000019,Botica Éxito,BOTICA ÉXITO,,932310069,
20000020,Farmacia Popular,FARMACIA POPULAR,"Av. Principal 7231, Lima",,farmaciapopular@hotmail.com
20000021,FARMACIA PROFESIONAL,FARMACIA PROFESIONAL,"Av. Comercial 5120, Pucallpa",935514022,farmacia_profesional@outlook.com  
20000022,Farmacia Corazón,FARMACIA CORAZÓN,"Av. Comercial 2764, Trujillo",974383257,
20000023,  Farmacia Corazón,FARMACIA CORAZÓN,"Av. Central 9086, Cusco",950253455,farmaciacorazón@gmail.com
20000024,droguería moderna,DROGUERÍA MODERNA,"Av. Comercial 1826, Arequipa",991107304,drogueríamoderna@gmail.com
20000025,Farmacia Rápida,FARMACIA RÁPIDA,"Av. Principal 1741, Arequipa",951625158,
20000026,Farmacia Amistad,FARMACIA AMISTAD,"Av. Comercial 9798, Cusco",923821987,farmacia_amistad@outlook.com  
20000027,Farmacia Nueva,FARMACIA NUEVA,"Av. Principal 7354, Lima",940262953,FARMACIA NUEVA@GMAIL.COM
20000028,Droguería Especial,DROGUERÍA ESPECIAL,,946301505,drogueríaespecial@hotmail.com
20000029,Drogueríamoderna,DROGUERÍAMODERNA,"Av. Comercial 9567, Iquitos",972723805,
20000030,Droguería Exacta,DROGUERÍA EXACTA,"Av. Comercial 5306, Cusco",962074666,DROGUERÍA EXACTA@GMAIL.COM
20000031,Farmacia Paz,Farmacia Paz,"Av. Central 7521, Huancayo",974736792,farmacia.paz@yahoo.com
20000032,Farmacia Salud Total,FARMACIA SALUD TOTAL,"Av. Central 3518, Huancayo",965051363,farmacia.salud.total@yahoo.com
20000033,Botica Perfecta,BOTICA PERFECTA,"Av. Central 2291, Trujillo",962312079,
20000034,BOTICA VIRTUD,BOTICA VIRTUD,"Av. Comercial 4830, Ayacucho",992088536,
20000035,Botica Bella,BOTICA BELLA,"Av. Central 6641, Trujillo",941338286,botica_bella@outlook.com  
20000036,Botica Calidad,Botica Calidad,,956529814,BOTICA CALIDAD@GMAIL.COM
20000037,BOTICA FELIZ,BOTICA FELIZ,"Av. Central 5546, Ayacucho",978859803,boticafeliz@gmail.com
20000038,botica VALOR,botica VALOR,"Av. Central 6495, Pucallpa",965688861,botica.valor@yahoo.com
20000039,Farmacia Siempre,Farmacia Siempre,"Av. Central 7125, Lima",932970141,FARMACIA SIEMPRE@GMAIL.COM
20000040,Botica Éxito,BOTICA ÉXITO,"Av. Central 8071, Ayacucho",998485217,
20000041,Farmacia  Confianza,Farmacia  Confianza,"Av. Principal 3591, Pucallpa",916731880,farmaciaconfianza@hotmail.com
20000042,Farmacia Amistad,FARMACIA AMISTAD,"Av. Central 7881, Ayacucho",934035212,FARMACIA AMISTAD@GMAIL.COM
20000043,FARMACIA PROFESIONAL,FARMACIA PROFESIONAL,"Av. Comercial 7593, Huancayo",949927058,
20000044,Botica Cruz Azul,BOTICA CRUZ AZUL,"Av. Central 6115, Ayacucho",920706922,
20000045,Farmacia  Global,FARMACIA  GLOBAL,"Av. Central 5305, Trujillo",980326607,farmaciaglobal@gmail.com
20000046,  Botica Amiga,  BOTICA AMIGA,,980539514,..botica.amiga@yahoo.com
20000047,  DROGUERÍA EXPRESS,  DROGUERÍA EXPRESS,"Av. Principal 4753, Iquitos",975930615,  DROGUERÍA EXPRESS@GMAIL.COM
20000048,Farmacia Siempre,FARMACIA SIEMPRE,"Av. Principal 2106, Lima",,
20000049,botica VALOR,botica VALOR,"Av. Comercial 702, Ayacucho",967741228,
20000050,Farmacia Vida Sana,FARMACIA VIDA SANA,"Av. Comercial 2006, Iquitos",939788825,
20000051,Droguería Especial,DROGUERÍA ESPECIAL,"Av. Comercial 575, Arequipa",919751343,DROGUERÍA ESPECIAL@GMAIL.COM
20000052,BOTICA SEGURA,BOTICA SEGURA,"Av. Central 3432, Iquitos",953641780,boticasegura@hotmail.com
20000053,Farmacia el Milagro,Farmacia el Milagro,"Av. Comercial 6055, Pucallpa",,FARMACIA EL MILAGRO@GMAIL.COM
20000054,BOTICA VIRTUD,BOTICA VIRTUD,"Av. Principal 8291, Trujillo",949181918,boticavirtud@gmail.com
20000055,Drogueríamoderna,Drogueríamoderna,"Av. Principal 1970, Trujillo",917012382,DROGUERÍAMODERNA@GMAIL.COM
20000056,Farmacia Salud Total,FARMACIA SALUD TOTAL,"Av. Central 3803, Pucallpa",958777203,
20000057,  Botica Elegancia,  BOTICA ELEGANCIA,"Av. Central 5101, Trujillo",934429763,boticaelegancia@hotmail.com
20000058,BOTICA MATRIZ,BOTICA MATRIZ,"Av. Comercial 6502, Cusco",991549296,boticamatriz@hotmail.com
20000059,Droguería Integral,DROGUERÍA INTEGRAL,"Av. Central 5378, Iquitos",927812363,
20000060,FARMACIA SANTA ROSA,FARMACIA SANTA ROSA,"Av. Central 1643, Trujillo",910278745,
20000061,botica generica,BOTICA GENERICA,"Av. Comercial 7971, Lima",949780104,
20000062,Farmacia Salud Total,FARMACIA SALUD TOTAL,"Av. Comercial 8072, Iquitos",910434912,farmacia_salud_total@outlook.com  
20000063,FARMACIA SANTA ROSA,FARMACIA SANTA ROSA,"Av. Comercial 7253, Huancayo",965094553,FARMACIA SANTA ROSA@GMAIL.COM
20000064,Farmacia  Confianza,FARMACIA  CONFIANZA,"Av. Comercial 7374, Trujillo",967661499,farmaciaconfianza@gmail.com
20000065,botica central,BOTICA CENTRAL,"Av. Comercial 6385, Huancayo",933651435,
20000066,Farmacia Vida Sana,FARMACIA VIDA SANA,"Av. Central 8540, Cusco",954335329,farmaciavidasana@gmail.com
20000067,Droguería  Los Andes,DROGUERÍA  LOS ANDES,"Av. Comercial 5880, Arequipa",945518735,
20000068,Farmacia  Noble,Farmacia  Noble,"Av. Principal 1988, Cusco",996797896,FARMACIA  NOBLE@GMAIL.COM
20000069,Botica Bella,BOTICA BELLA,"Av. Principal 3892, Cusco",916339734,botica.bella@yahoo.com
20000070,Farmacia Siempre,FARMACIA SIEMPRE,"Av. Comercial 4676, Cusco",957401587,FARMACIA SIEMPRE@GMAIL.COM
20000071,FARMACIA SANTA ROSA,FARMACIA SANTA ROSA,"Av. Central 9700, Trujillo",985013313,
20000072,BOTICA VIRTUD,BOTICA VIRTUD,"Av. Central 2190, Huancayo",933233379,boticavirtud@hotmail.com
20000073,  Farmacia Fuerza,  FARMACIA FUERZA,"Av. Comercial 2286, Cusco",988356499,  FARMACIA FUERZA@GMAIL.COM
20000074,DROGUERÍA HERMOSA,DROGUERÍA HERMOSA,"Av. Principal 1054, Pucallpa",953612979,droguería.hermosa@yahoo.com
20000075,Farmacia Paz,FARMACIA PAZ,"Av. Comercial 2530, Arequipa",974581697,
20000076,FARMACIA SANTA ROSA,FARMACIA SANTA ROSA,"Av. Central 9410, Cusco",989086213,
20000077,Botica del Centro,BOTICA DEL CENTRO,"Av. Central 7136, Pucallpa",989813098,botica_del_centro@outlook.com  
20000078,Farmacia Corazón,FARMACIA CORAZÓN,"Av. Comercial 4842, Ayacucho",945215900,
20000079,botica EXCELENCIA,BOTICA EXCELENCIA,"Av. Comercial 4029, Huancayo",919856422,
20000080,DROGUERÍA HERMOSA,DROGUERÍA HERMOSA,"Av. Principal 7248, Huancayo",970639191,droguería_hermosa@outlook.com  
20000081,Botica Éxito,BOTICA ÉXITO,"Av. Central 4013, Iquitos",910012944,BOTICA ÉXITO@GMAIL.COM
20000082,Botica Cruz Azul,BOTICA CRUZ AZUL,"Av. Principal 3685, Ayacucho",997437705,BOTICA CRUZ AZUL@GMAIL.COM
20000083,BOTICA SEGURA,BOTICA SEGURA,"Av. Central 544, Ayacucho",921843736,botica_segura@outlook.com  
20000084,  Farmacia Corazón,FARMACIA CORAZÓN,"Av. Central 5270, Trujillo",982840793,farmacia.corazón@yahoo.com
